post_id,post_description
1697,Darlington Rape Verdict: Attacker with hatred of women who described England as a 'bitch country'
1698,"Dont you realize youre only making my cock harder with your constant whining, you stupid little bitch? God, your pussy feels so tight when I choke you. I think I might just fill your pussy up right now so you never forget about this day."
1699,Fuck you Noot Noot Harime fucking fashion cunt tailor cunt looking bug as eye looking no arm be having bitch
1700,@user hey man! we're finally on twitter and just wanted to thank you so much again for the ongoing support. you are so inspiring
1701,THAT A VELVET PURLOLE SUIT BITCH IM HYSTERICAL
1702,"@user This bitch is promoted by communist...her people, refugeesWill listen to her..follow her.Simple to say go home, she needsTo be hung."
1703,"#35A is a perfect Karmic slap on the faces of regionalists in India. If you keep insisting on regional identity, you’ll end up getting Allah Hu Akbar. Each time. EVERY TIME."
1704,@user Could you please explain why you praised the research of an anti-Muslim  and anti-immigrant foundation linked to Orban's far-right government? …  Or why you are hosting events at the Hungarian Embassy for this foundation? h
1705,All you niggas saying no grown man should be this excited for a video game. Go get you some pussy. Bitch stfu. We wait all year for the new 2k to drop as well as other games. We get pussy damn near all year round. You enjoy your life and let us enjoy ours beloved.
1706,When I see men wearing skinny jeans
1707,Tell @user to stop slandering courageous guards who protect nation from aggressive male migrants from violent cultures. Mainstream Europe must “push back” open-border extremists who try to hold nation states hostage to their Multicult Manifesto.#visegrad #Slovenia
1708,Meet Shukria.A young refugee with an incredible talent for poetry.
1709,"You know what I hate? A fucking ""what about men?"" type assholes when people are talking about women experiences & issues i.e. motherhood, unequal wages, rape, sexual harassment. Like fuck you, stfu dickhole."
1710,@user If you feeling like pimp james go ahead and brush your shoulders off⚡️
1711,@user @user #Kavanaugh also said birth control is abortion-inducing drugs Christian Sharia But of course I am a hysterical woman that should not have any rights Maybe you could pass a law like in the old days that my husband owns me
1712,"Shut the fuck up, Brandon. You never cared about his Superman. You and a bunch of your buddies are the reason his character was butchered in JL since yall wanted more fun and smiles. Stop with this fake caring act for clout."
1713,You've been dating for three days. 'I Love You' shouldn't even be in your vocabulary. #ClingyAssBitches #WomenSuck
1714,I welcome those who want to assimilate but Muslims do not.
1715,"When did Angela Merkel last said something ""hello germany/berlin/cologne/munich I LOVE YOU, THANK YOU!"" ?Oh. Never happened. She even threw away our country flag.Oh, and invited 2 billion of illegal aliens into our country, while other imigrants like turks, are already so toxic"
1716,@user ROBBIE ROTTEN IS NOT STUPID YOU CUNT
1717,"Libya, migrants &amp; karma: Europe's new migration policy wrecks on North African reality"
1718,"Illegal immigrant breaks into NJ home, rapes 6-year-old girl, police say #FoxNewsThis horrific act is reason enough to#BuildTheWall #NoDACADeal #NoAmnesty #EndChainMigration #EndSanctuaryCities #EndIllegalBirthrightCitizenship#DeportThemAll"
1719,Democrats have been placing refugees and illegals in Parts of the country trying to change the outcome of elections and we stop them Everytime. Democrats have been trying to stop AMERICANS from voting and giving more and more refugees the rights to vote against us. Dems are done.
1720,RT @user @user is my #MCM because he gave me a dirty shout out on Instagram. #romancein2016
1721,Trump Is Not Alone — Animated Map Shows 6 Border Walls Being Built Around The World
1722,oh my god yall non fans are so annoying let universes and pentagon grieve let us take all this in first just let us fucking be and leave us the fuck alone we dont need your fucking opinion on the matter im so fucking done with yall for fucks sake just shut the fuck up
1723,"Illegal alien turns himself in to ICE following deadly hit-and-run car crash, report says #PreventableDeath #StopTheInvasion #ThereAreMoreOfThemOutThere"
1724,'ᴴᴰ Lee Min Ho and Suzy relationship: Lee Min Ho hopes to get married to protect girlfriend Bae Suzy' :
1725,The home of Guinness‘‹ gives refugees and asylum-seekers a new chance in Ireland ðŸº   #InternationalBeerDay
1726,Shorter take: I just destroyed you with facts so now you'll make me into a hysterical woman to soothe your fragile…
1727,Coming onto a status about women + sexual assault/harassment to mansplain it and say that 'not all men are abusive' is probs the worst thing
1728,Aww you're on your period?... Try dealing with you on your period!
1729,The thinking mind is what is busy. You have to stay in your heart. You have to be in your heart. Be in your heart. - Ram Dass
1730,Many lice you will find in Viennese schools. Some refugees has brought us this as gift. To rescue it will cost 30 â‚¬ a person.
1731,The only thing me and Donald Trump have in common is how we flirt
1732,Shakespeare plays for tRumpers:  Romeo and Juliet Sound Like Immigrant Names All’s Well That Ends with Armageddon Much Ado About Hillary The Grabbing of the Pussy
1733,Poverty and lack of services in Iraq force refugees back to the camps
1734,Shan: even dumb sluts get pissed over cat calling Me: meeeeeee Shan: no you're an idiot whore there's a difference
1735,"For refugees in #Sudan, fears surround probe into UN resettlement fraud: (@irinnews) #WithRefugees @user @user @user @user"
1736,"Solid analysis.  Just don't fall into the trap of importing Muslim refugees, or it will be game over."
1737,@user Be my whore my slut my bitchy ❤❤💋👅
1738,Alexander Dullinger Burggrub 53 91332 Heiligenstadt Exposed Gay German Sissy Faggot Whore Hure Nutte - Home Gay Slut
1739,"Windrush migrant, 57, died under ‘˜extreme stress’ trying to prove his citizenship, lawyer says"
1740,"#BuildThatWall Thank you, @user Trump & OUR glorious MILITARY! ****** Trump Rolls Out a BRILLIANT Plan The Military Will Build His Wall! via @user"
1741,Students in Arunachal threaten to launch 'Operation Clean Drive' from August 17 if illegal migrants do not leave the state before that. #AAPSU #ArunachalPradesh #NRCPolitics Full Report-
1742,When her head game is as good as she claimed it to be so you gotta smile and thank god 🙏🏼
1743,"@user They can help and take the children into their churches and feed them - also in Italia the Pope can open the petersdome for refugees, which will sheet into the building sure."
1744,Why do foreign individual dump money (and refugees) into our country?  We don't need their money and their programs.
1745,"@user @user same culture gave us terrorist, same culture assassinated Hindu rape Hindu woman like Ba…"
1746,isnt it just fkn dyno when one of ur ‘best pals’ turns oot to b a wee snake like off u go slither back 2 ur hole ya sly cunt x
1747,All my friends live vicariously through my penis
1748,The Insane Re Truly In Charge... The German Government Pays for 3 Week Vacation for Refugees to Go Home
1749,Separated Immigrant Child Dies Shortly After Release from ICE Jail via @user
1750,@user @user @user @user If you think financing breaking down borders &amp; flooding the world with economic migrants is going to help wages may I suggest you are seriously deluded.
1751,The only woman I respect is MY MOM and that's why we still live together. No one does laundry like her #laundryqueen #ilovemymom #fuckwome/
1752,"#TEDxKakumaCamp showed how given a stage, refugees can shine. And how given opportunity, they can thrive. If you missed the event, you can watch each talk here:  #WithRefugees"
1753,"CBS: Driver an Illegal Alien was drunk, high at time of fatal Donna crash that killed 6 year old girl. Yet another victim whose life was stolen by an illegal alien.When will you end this?#BuildTheWall #NoAmnesty #NoDACA #DeportThemAll"
1754,lemme ride prison rape bitch im your moms a hoe
1755,@user Ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha
1756,#StopTheInvasion  Gaming the System:  Late-Term Pregant Women Illegally Crossing the US-Mexico Border to give birth to an Anchor Baby within the US Border during their Detention and Legal Processing Period which can be months long
1757,"cringemuch .When women get panicked&start getting hysterical when having a standard delivery. Everyone knows save energy,focus&push."
1758,"Trump will close the goverment, if he dont get the money for the wall ! To build the wall will rescue USA from refugees like Europe."
1759,@user Lekin hum toh inhen jaantey nahi 😶
1760,"The U.S is $21 Trillion in Debt We Cant afford to be Mexico and Central America's Welfare state  low skills. uneducated No English  wanting welfare, education Medicaid  on the U.S Taxpaers #Trump #MAGA #SendThemHome Red Hen #Immigration  via @user"
1761,Ill-legal migration isÂ invasion
1762,RAF #Drone pilots save scores of fleeing Syrian refugees with air-strike on #IslamicState
1763,"@user I bet you were, you SKANK! 😭"
1764,@user @user stfu bitch nigga who told u to talk hoe
1765,If you find it necessary to message a complete stranger about your hurt feelings over a post... It might be time to log off the internet
1766,"Trump's immigration policy is ""sinful"" Rev Al Sharpton tells NY protest"
1767,"Sheffield, England: Somali mayor bans Donald Trump from the city via @user Who elected this twit..."
1768,"im so trill, ur hoe can't handle it but damn, that bitch can suck a diiiiickkkk"
1769,We are NOT a nation of immigrants. We are a nation of citizens!
1770,@user @user @user I always use Japan or Poland as an example of nationalism done right. Very little immigration to those countries and zero terrorism taking place there.
1771,9 Times Globalists Claimed Mass Immigration Necessary to Grow GDP. They are now proven WRONG! via @user
1772,"#FakeNews production... Gee, they should trademark it!A Czech tourist notices something odd about these “drowning refugees” - they R part of the paid #FakeNews filming crew! Oh the poor #Muslims!@BBC @user coproduction!#Soros smirks contentedly.."
1773,"More than 1,500 migrants pour through new gateway on Spanish beaches via @user"
1774,Italy urged to permit charity sailings as death rate for Med migrants soars from 1 in 38 to 1 in 7
1775,The guys who say “not all men!! Some of us are the nice guys you turn down” or “it happened to me & I’m not crying about it”
1776,"This #job might be a great fit for you: Senior Immigration Specialist (Non-Immigrant) - #BusinessMgmt #Durham, NC #Hiring #CareerArc"
1777,Don't involve me in no hoe buisness #1 rule let a bitch choose I ain't never beefing bout NO bitches😩💯🔊
1778,"Here I share pic about Men over women, dominant relationships"
1779,"So called ""refugees"" in Europe. via @user"
1780,Please let your MPs know we do not want any more migrants we cant afford them we do not want a cologne or a free for all enoughs enough
1781,Death toll in Tunisian migrant ship accident rises to 60: IOM #UnitedNations #Tunisiancoast
1782,Mike Tyson calls Syrian refugees cowards. I agree.
1783,Back to the kitchen you stupid sandwich maker
1784,RT @user @user @user Aye! Make your dreams come true! ...Go out there and suck a dick!😂😂
1785,@user Says a hysterical woman/hustler/con artist/grifter
1786,There's interesting insight to uncover and understand if you want to go down that rabbit hole.
1787,@user @user Veterans firstRefugees go home
1788,@user Stop lying u skank bitch but white like u
1789,Women are like elephants. Everyone likes to look at them but no one wants to keep one  #WomenSuck
1790,Guatemalan mother separated from her 7-year-old daughter waits
1791,I just wanna know why the girl dont like me 😭😂 What I ever do to you hoe? Other than give you rides and be nice to you 😂🤦🏻‍♀️ Hating ass hoe
1792,"In many areas of the country there are large numbers of immigrants with  less than 2 years of college education, community colleges can be the  best option! Join us April 13 learn more!  @user @user @user @user @user"
1793,Women want u to automatically believe women who scream rape they don't understand our position....
1794,This is what the #DemocraticParty #DNC wants in every American community
1795,"@user @user @user @user @user @user @user @user @user @user @user @user Right, all those hundreds of thousands of people in the refugee camps have all those levers of power. If they did, #Myanmar would be f"
1796,"Eminem raps about wanting to rape women, that has nothing to do with CNCO's success!"
1797,Women are beautiful to me when they are silent. Why do they have to speak up and ruin things??!
1798,"@user @user Where was your outrage when Obama did this to 25,000 kids for months ZERO! Where is outrage for all the Angel moms that lost their kids to illegals never to see them again EVER! 1.3 Million in US already on FBI terror watchlist! #Bu"
1799,@user 'Diversity Visa' - YOU UTTER HYPOCRITICAL SKANK!
1800,Friend- I'm getting married Me-
1801,I think we all ought to be calling and finding out about these meetings in our communities where refugees are...
1802,@user @user Muslims belong in desert sands of far away lands. #BUILDTHATWALL
1803,"Dear Facebook, Jus coz I have these whores numbers in my phone doesn't mean I want them seeing my personal life, please stop suggesting them"
1804,Hundreds of Syrian refugees return home from Lebanon
1805,@user I'm sure you also get mad when guys stair at ur ass and act like you don't understand why they do it #WomenSuck
1806,"Just ten countries look after 12.5 million of world's 20 million non-Palestinian refugees, and nine of those are in developing regions, not rich ones - UN @user"
1807,@user Sturgeon answer this question will Scotland have Immigration controls if they stayed in Europe or will we have more beggers
1808,"Problem with the books being referred to is that they were written 30 years ago. Massive changes in China, definitely no mass emigration to US, perhaps just the opposite."
1809,"Lessons consensual #sex for Mr #Weinstein &; others - you mislead, coerce and force yourself on #women - guess what it is #assault and #rape?"
1810,@user I like Twitter cause we're so irrelevant here that no one pays attention to us 😫😂
1811,"Fuck you, you fuckin skank WHAT DID YOU SAY!? I said I can’t wait to own a fishing tank!"
1812,@user @user Acharya.. have you read the analysis/opinion given by our 'historians' to SC wrt Ram Temple? Even 'WTF' will be ashamed. @user
1813,Who needs tougher immigration laws when you can just simply plant more trees?
1814,"@user thanks for suing 12 New Jersey school districts over discriminatory ID requirements for enrollment. Not only is this a violation of state law, but merely posting these policies online can have a chilling effect on enrollment of immigrant students. T"
1815,@user @user .Can you say #BuildThatWall#BuildThatWall #BuildThatWall #BuildThatWall #BuildThatWall#BuildThatWall #BuildThatWall #BuildThatWall #BuildThatWall#BuildThatWall #BuildThatWall #BuildThatWall #BuildThatWall#BuildThatWall #BuildT
1816,@user If Syrian refugees complain about Bute then Gaelic Speaking Australians should be able to stay in Scotland  for good
1817,Hysterical over here bc every bitch with eye liner & an iPhone 7 is a model now 😂
1818,"Don't get all excited. She may be talking to you, but she's probably talking to 4 other dudes as well #WomenSuck"
1819,I just dont get why she has to dress like a fucking hoe to impress a guy or mostly all guys like tf bitch
1820,Who are the European leaders who could save Western Civilization from the migration jihad? @user gives us his list.Hungarian PM Viktor Orban (who became more powerful due to the folly of Germany's Angela Merkel) is first.See what I said....https://t.co/lqi5D0cruN
1821,What do smart women do for a living? What they're told. #YesAllMen
1822,Report: More than half of immigrants on welfare
1823,"Yes we can #BuildThatWall ! And yes it does keep people, includiing bloodthirsty drug cartels & disease carriers out. He's mad he can't keep giving cartels weapons."
1824,Germany to accept 50 rescued migrants after Italy's plea
1825,@user is a complete joke! If you see this guy out...GET IN HIS FACE. CONFRONT HIM. MAKE A CONVERSATION with him. MAKE HIM ANSWER. Let him know where you stand!
1826,"Welcome to #Vial, #Chios Imagine living for months in a container. Imagine not having a container and sleeping in tents between them. Imagine not having a tent and sleeping under plastic sheets. Imagine having none of the above and sleeping rough.  This is how #EU treats refugees"
1827,"An illegal alien has been charged with murder, arson and mutilation of a corpse n #Democrats Want to make sure more Illegals can cross U.S Border  and  they want to End #ICE #Trump #MAGA #RedNationRising  @user  #Immigration via @user"
1828,Muslims freaking out after Italy's general election as the anti-immigration Lega outperformed expectations - Free Speech Time - @user
1829,REQUEST FOR NOMINATION: English Works Campaign Certificates of Recognition for companies supporting the development of English language skills of MA immigrant workers. Past awardees: @user @user @user
1830,"@user Hey your awesome! We all make mistakes! If taken in context(your charater did that,) I do not believe you condone Rape."
1831,"Former Obama Adviser Ben Rhodes Drops a Bombshell: Yes, Obama Armed Jihadists in Syria via @user  No surprises here..."
1832,What do you call a woman who has lost 95% of her intelligence? Divorced
1833,"Even CNN says Trudeau is in trouble over illegal immigration. It says his focus should be on what he can control, starting with curbing the flow of migrants crossing into Canada. He is under growing pressure from provincial premiers and big city mayors"
1834,"Lebron James helps kids education, while  #trump helps #immigrant kids separate from their families"
1835,"Australian Senator tells the UN to shove it, Australia will not accept refugees"
1836,"I wish kids were like cars... Once you can't afford them, they come and repossess them"
1837,"Would be awesome, lol, great idea @user @user #BuildTheWall #LockThemUp #EndDACA #BoycottNFL #BoycottNike enough already"
1838,Find it hysterical that a bitch can't talk shit on me until she moves away🤔🤔scared???🤣
1839,"Great example as an immigrant and woman CEO, Indra Nooyi (Indian-American): ‘Pepsi’s first female CEO is stepping down after 12 years’"
1840,ISIS jihadists' transfer could bring new migrant crisis
1841,@user HAPPY MF BIRTHDAY TO ONE OF MY FAVORITES HOES 😝turn up bitch 😘I wish you many many more
1842,@user You have proper right for being anal whore!
1843,"Germany: African migrants attacked kids playing football, Angry parents with Iron bars came to teach them a lesson ""Do not touch my child"" - Free Speech Time - @user"
1844,When you walk past someone and they mumble somethin under their breath
1845,"Comparatively, our own inner city youth & fellow Americans live like 3rd class citizens while illegals are housed at ICE centers that rival the best elementary schools & college dorms in the country. #BuildThatWall @user @user @user @user @user"
1846,Introvert level expert
1847,if them bitches take a pic with Bey (which i highly doubt) i will forever shut my whore mouth
1848,It's not the walk of shame if you truly give no fucks
1849,@user Illegals can reunite back across the border in Mexico! We dont need the extra crime that the illegal or refugees invaders bring to America.#NoDACA #NoVisaLottery #NoBenefits4Illegals #NoChainMigration #BuildTheWall #E-Verify @user
1850,How real friends greet each other
1851,I’m so tired of older women at work asking me if I got married because I im pregnant like no bitch and I don’t plan on it.
1852,"The silver hair accesory on the back of the shimada katsura wig, a silver “wings” at the base of a Geiko’s top-knot are called nemaki (根巻き, tied (at the) root), and they symbolize that a #Geiko still lives in and is dependent on her okiya. (1/2)#Kyoto #Japan #JapaneseCulture"
1853,"And lets be real, if you “not all men” me, thats an instablock fam, coz being dismissive is part of the problem"
1854,I'm reading about Martha and Mary this morning and it's just striking me again that many of us have turned a story where Jesus tells a woman that she doesn't have to stay in the kitchen into a lesson about how some of us think we're too busy for our quiet time.
1855,@user Hey look its the woman who wants to get famous for crying about an ass slap. You truly are a worthless cunt.
1856,#FreeTommyRobinson #Bluehand demand you #Brexit #SendThemBack
1857,When you get home from the bar and realize you have no alcohol
1858,"Know Your Rights, Defend Your Rights! Come join a training that focuses on building sustainable community resistance against the increased violence against communities of color &amp; immigrant communities. Aug. 8-9. 10am-4pm. Open to all. Sign up is below!"
1859,"What happens when you drug, rape and sodomize a 13 year old girl ? ALL those left wing loons who tell us how to..."
1860,@user I can always tell when you're drunk cause you're lighting up Twitter in the middle of the night 🌚
1861,The monetary costs will run into the billions for Trudeaus illegal immigrant crisis. Non-monetary costs??
1862,President Trump is a BSer. President Trump tells the Truth. Both things can be true. #EndTheEU #SaveEurope #StopIslam #BringBackTheLira
1863,That's very odd!!#TheWall #NoAmnesty #EndDACAAngel Mom: 'I'm Offended' Mollie Tibbetts' Dad Won't Recognize 'Illegal Alien Crime' via @user #MollieTibbetts #katesteinle #KAG #chainmigration #IngrahamAngle
1864,Spare rooms appeal for eviction-hit refugees
1865,"@user Crawl back in your hole, you should be in the pokey by now!"
1866,"Over the past 25 years, World Relief has welcomed nearly 100,000 women and girls fleeing persecution. Give today to support our work in welcoming refugee and immigrant women and their families."
1867,"@user hey brother, loved the performance the other night. #inspiring"
1868,RT @user “@LACLlPPERS: #YesAllMen you know what... This is the only double standard were allowed lol
1869,"@user @user You don't stand for Canadian workers:  Wages in rich countries are determined more by immigration control   than anything else, including any minimum wage legislation.  Not by the  ‘˜free’ labour market, which, if left alon"
1870,#menrdecent India men should grab the RSS feed of my blog to see men of the world fighting for men's rights.
1871,you made yourself a bed at the bottom of the blackest hole and convinced yourself that it's not the reason you don't see the sun anymore
1872,@user thanks for the follow! DM for info about upcoming meetings and events #MaleDomination
1873,"Watch: Pakistani refugee raped Norwegian girl ""I have a right to rape women, women have no rights"" - Free Speech Time - @user"
1874,"Oh good, its that time of year when women bitch about men watching football why is this a thing? Why dont you shut the fuck up and enjoy the game? k bye"
1875,"An illegal alien from Haiti has been accused of shooting a Florida  police officer in the head, leaving him in critical condition. #StopTheInvasion"
1876,10-year-old Somali girl dies after female genital mutilationYet we grant these people immigration to our country expecting them to assimilate - but they don't...
1877,When you join a relationship women leave this part out #YesAllMen
1878,"It is now forbidden in France to say: 'French people first, illegal migrants out'"
1879,"@user @user offer to visit to LeBron James school, to distract/photo op, clean up @user racist mess, election coming up, She visited caged immigrant children, for photo op, hasn’t been back, Melania got on the Trump Birther train, aga"
1880,#Muslim #Migrants Reportedly Leaving In Droves Due To Simple 2-Word Requirement -   #Immigration #IllegalImmigrants #IllegalImmigration #IllegalAlien #Muslims #IslamicRegimeMustGo
1881,the most worthless whore and bastard CUNT on
1882,Im a skank for understanding the very basics of life!
1883,@user 1 illegal alien who opened the floodgates for millions more to follow. #BuildThatWall #DeportIllegals #MAGA #USA #POTUS #Trump
1884,This is the only award I deserve in life
1885,More women accuse Weinstein of rape
1886,@user Please visit today & help #BuildThatWall#RETWEET
1887,I've said it before and I'll say it again. Don't tug on my dick unless you plan on sucking it! #WomenSuck
1888,"@user Checkout my hysterical book of satire for men, which women have been waiting for!…"
1889,"Still so good: ""She and the other white writers who marveled over my luck wanted to try on my Otherness to advance their value in the literary marketplace, but I don’t think they wanted to grow up as an immigrant in the United States."""
1890,thing is not all men clean up like Gucci... be careful who you “ride” for
1891,"Tomorrow at 2PM EDT @user and @user will be hosting a Facebook Live event from Tornillo, Texas, where immigrant children are being detained after being separated from their families. Tune in here âž"
1892,Some girl that knew Jackson from his hoe days legit CROSSED THE ROOM to talk to him at the party yesterday and I was legit like
1893,The NGO refugeeship is running now to rescue more illegal refugees in the middlesea. In Valencia/Spain students was taken out from their homes to make place for the last refugees which are sick. One room costs there 750 â‚¬ and is comfortable.
1894,PM BabiÅ¡: Czech republic not to accept any illegal migrants
1895,Interesting how US intervention in Central America caused the migrant catastrophe itself...
1896,You don't know me yet you hate me and that's cool... But guess what.. I don't hate you cause I would never waste my energy on a stranger
1897,Lebanese Christian beats up Syrian refugee in his home and screams at his wife (with Subtitles)
1898,The Face of London after 40 Years of Third World Immigration via @user
1899,".@FLOTUS, I didn't hear you saying anything when you husband was talking about grabbing women by the pussy. That's ok tho? Go play in the garden in your stilettos and stfu!"
1900,"Always pay attention to your surroundings, it could save your life."
1901,72 percent of Germans say immigration is negligently handled
1902,"@user @user @user @user I don't want death! I want my grandchildren to their rightful place to become what they what! Not after government alots so many spaces for illegals, not fair for my off spring!!!#AMERICAFIRST #NODAC"
1903,"World Relief is working in Jordan to strengthen and support Syrian #refugee families through child friendly spaces, literacy programs, marriage and parenting curriculum and more! On our blog, read about the change these programs are making. âž"
1904,Watch: Elderly Swedish woman forced to stand up for a Muslim migrant on a bus - Free Speech Time - @user
1905,WE AS A NATION DESERVE A REASONABLE EXPECTATION OF SAFETY IN OUR OWN COUNTRY! VOTE REPUBLICAN #BuildThatWall #EndChainMigration #ENDVISALOTTERY #EVERIFY #ENDVOTERFRAUD
1906,@user Come on box I show you my cock darling
1907,"Just remember ladies, whatever you're not willing to do, another whore like myself is. 😊"
1908,I'm guessing the last guy she trusted gave her herpes...
1909,Counting the Omer of your Life - Passion For Truth Ministries via @user
1910,#jihad #ISIS #terrorism #hate #ISIL #shariaWhen President Obama says we are going to thoroughly vet refugees...
1911,"Watch: Britons protest against Migrants ""Deport all migrants"" - Free Speech Time - @user"
1912,Jose 'the puta' bitch says he doesn't cry about injuries to his players. What a contradictory KUNT. Conte response was brilliant imo.
1913,@user is like the Donald Trump of social media sites the way they're just purging pages for no apparent reason
1914,@user Are you justifying rape because someone just went 'there'
1915,Jordan's so butthead it's hysterical learn how to treat a women that's why all your exs cheat on you😂😂 pussy ass bitch keep trying me
1916,"@user amazing show tonightPresident Trump doesn't need Congress to Build The Wall.Thank you @user Trump, we are being invaded by a foreign country; defending our Borders is the # 1 job of the Commander-In-Chief.@realDonaldTrump PLEASE"
1917,"There are some notorious notallmen -ers on my timeline. They completely dismiss everything women complain about because, not all men."
1918,"@user Jason Wallach, 41, Kate Brenner, 69,  are the two on left"
1919,German Police reports that refugees from Africa start in Italy via Austria now by train. The catch them at Rosenheim freightterminal.
1920,"Lauren Southern: Tries to kill refugees in the Mediterranean.  Conservative British Government: Oh, fuck off. You're not welcome in the UK.  Chris Kenny: Ooh Lauren Southern, I can't believe she wasn't allowed into the Lakemba Mosque! What about freedom!"
1921,"@user ""Hysterical Women"" is right out of the Con play book.. they believe only men can make the most fucked up decisions of all time, not need for women."
1922,RT @user @user @user get a flag made and hang in front of the house
1923,@user @user one bs template email but nothing solid. This is my 5th deletion
1924,@user @user You hysterical women caught up in more conspiracy theories again? 😂😂😂 liberals are to…
1925,These are Canadian refugees
1926,I swear to gawd if I see one more “not all men” etc shit when a woman is killed by a man and y’all don’t hold people accountable I’m fightin
1927,@user Are we Trumpers doing enough ??? or waiting on Trump n his Team to get it done #StandUpnBeHeard #SpeakUpForTheUSA #MakeADifference #DoSomething #VoteRed2018 #VoteRedToSaveAmerica #VoteDemsOut #WalkAway #KAG2018 #BuildThatWall #DraintheSwa
1928,"Refugees resettled in the U.S. help grow our economy. In 2015, 13% of refugees living in the U.S. were entrepreneurs, compared to 9% of the U.S.-born population.Help refugees access the vital services they need to give back to their communities. âž"
1929,When you're practicing being homeless
1930,"The Trump administration says it needs more time to meet a deadline set by a federal judge to reunite immigrant families.  Meanwhile, we learned new details about the smallest children who have been separated from their parents. #ReleaseTheHostages"
1931,No one cares about you agta don't be so stupid bitch
1932,@user @user How many political refugees are showing up at our border from socialist countries?
1933,you're no different from men who start with Not All Men every time a woman tweets men are trash
1934,The government isn’t even trying to reunite the families they forcibly separated.   They need to stop wasting time and fix their crisis.  #EndFamilyDetention #FamiliesBelongTogether
1935,Zeebrugge struggles with problem of trans-migrants
1936,@user You are very brave to tell your story. I promise you not all men are monsters. ❤️
1937,@user @user Have to address LEGAL immigration as well.The racial interests of the majority LONG TERM must be addressed without apology.
1938,"You ever just wanna cut off every single person in your life, get on a boat and sail into a whole new life? Cause same"
1939,I want a bitch who gone rape me when she feening for the dick🤷🏽‍♂️
1940,I want a bitch or whore or pig come to me now kik: mishalcoors #bitch #whore #ass #pussy #wine #beer #كيك #كك…
1941,In Austria the elder people in homes need 4 Euro for food daily each. Now the goverment like to reduce the benefit for refugees to 5 Euro daily. Why refugees get more money than the originated citiziens ?
1942,It's not rape if women are considered objects! You can't rape an object! Islam is completely anti rape!
1943,"Like Germany - also in Austria left minded clerks support refugees, like democrats in USA. Beware of such elements !"
1944,"The German Government Pays for 3 Week Vacation for Refugees to Go Home. So despite claiming their lives would be at risk if they were forced to return home, the government is paying them for a vacation to the very place they claim to be fleeing from"
1945,"It's come to the point to where, when I see the word 'all' it pisses me off because NOT ALL MEN AMD WOMEN ARE THE SAME."
1946,@user The era when a woman was either Mother Mary or a whore is over. Women are plain and simply human beings.
1947,"Bitches be like 'my man has never cheated on me' lol nah bitch, you're just too stupid to catch him"
1948,"Merkel, Macron vow Brussels won't tolerate resistance to inundation of Muslim migrants via @user"
1949,Find jarring “Not all men are trash” some of us are good” “we love you Nubian queens” just shit up 😂😂
1950,"“#Bangladesh should register fleeing #Rohingya as refugees, ensure adequate health care &amp; education, &amp; let them pursue livelihoods outside the camp” says @user in new @user report ""Bangladesh is Not My Country: Plight of Rohingya Refugees fr #Myanmar"
1951,like damn bitch if youre hungry shut the fuck up and eat im trying to sleep!!!
1952,"I am an immigrant. I am a homeowner. I paid at least $4,100 in property taxes last year. I live with my child. I am a 55 year old male. I earned $107,000 last year. I work 40 hours per week. I live in OR cc'Sen. Ron Wyden. #ImmigrantsAreUS"
1953,"Emily Does vagina had dirt, gravel and pine needles in it after Brock turned raped her while she laid unconscious on the ground. You dont want women to prove they were raped, you want them to accept it and shut the fuck up."
1954,"In honor of World Refugee Day on June 20, our Chicago office is going to raise $30k in 30 days. Join our peer-to-peer fundraising campaign: designed to assist not only refugees, but also immigrant populations and vulnerable people—our new neighbors."
1955,When you're looking at pictures from last night to see who stopped by cause you were blacked out
1956,"@user No, you suck and the game said you were a slut."
1957,"loooooooooooool I don't date, sweetheart. Just dick appointments"
1958,"Obviously Meredith, obviously. Filthy bitch ☺️"
1959,I've never liked @user and he didn't endear himself with the Sean Spicer bromance and Stupid Weistein jokes. Bit of a cunt
1960,"@user u fucking cunt u wanna fuck me duck hole cack lord bafaf, EXcuease me, i wang to flout ur hbox, please suck me dadd. top 5 gay"
1961,"Stephen Miller’s next target: Legal immigrants via @user we don't need too much of the world's junk. Limit legal immigration to a few thousand. Deport all daca and  all illegals, no asylum for anyone."
1962,#ElinErsson The answer is NOT to support mass migration into European nations. The ANSWER IS MASS PROTESTS of damage of Western invasions in Middle East &amp; stripping resources from Africa (by elite). When will SJW learn? They do not read or understand what has been happening
1963,Oh my God I had no idea Destiny was the same girl from the People’s Couch. I thought she was hysterical on that. #shahs
1964,Germany: Moroccan migrant spits on a German woman and gets slapped in the face by a German grocery worker - Free Speech Time - @user
1965,Drs. Krista Perreira and Jonathan Oberlander explain a proposed federal plan that could have major life and health consequences for millions of #immigrant families: the ‘#PublicCharge’ rule.
1966,Someone asks you to catch a rare fish with like two days left in the season and it's like dude can you not be such a dick
1967,"Islamic state changes its name from ISIS to ISC as they move to Canada as ""refugees"" - Free Speech Time - @user"
1968,"Dinesh Dsouza is a Globo-Homo agent, like Paul Ryan. Don't let this dot head immigrant lecture you that Andrew Jackson is not an American hero."
1969,Never send a hand to do a mouth's job #WomenSuck
1970,@user @user Basically you don't care about rape or victims. You just hate Trump and someone told you to boycott twitter because of Weinstein I get it.
